algorithm,phase,size_label,size_value,input_label,input_size_bytes,run,time_s,peak_memory_bytes,output_bytes
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,3,0.0011113329999998811,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,4,0.001100458999999887,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,5,0.0010989159999996723,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,6,0.0011017089999998397,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,7,0.0011347909999996908,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,8,0.001155500000000309,153,64
SHA-512,hash,input_size,1048576,1MB_pdf,1048576,9,0.0010558750000000394,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,0,0.005621832999999743,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,1,0.00577866699999996,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,2,0.005788750000000231,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,3,0.005720249999999982,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,4,0.005580124999999825,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,5,0.005790500000000254,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,6,0.005721666999999986,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,7,0.0057057079999998095,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,8,0.0056314999999997895,153,64
SHA-512,hash,input_size,5242880,5MB_video,5242880,9,0.005740958999999712,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,0,0.009261834000000135,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,1,0.009073541999999879,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,2,0.009264624999999693,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,3,0.009190334000000355,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,4,0.009037084000000029,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,5,0.009201457999999718,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,6,0.00921745799999929,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,7,0.009045208999999943,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,8,0.009072374999999688,153,64
SHA-512,hash,input_size,8388608,8MB_video,8388608,9,0.009189249999999483,153,64
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,0,2.2333000000429593e-05,2417,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,0,5.7499999996935e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,1,8.750000000112834e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,1,4.8340000002866645e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,2,4.000000000559112e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,2,3.6250000006177174e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,3,3.4589999993173137e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,3,3.4580000001227518e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,4,3.4170000002831102e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,4,3.459000000205492e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,5,7.83299999973508e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,5,3.5000000000451337e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,6,3.37499999947255e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,6,3.4580000001227518e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,7,3.3750000003607283e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,7,3.416999999394932e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,8,3.3339999996329084e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,8,3.4170000002831102e-06,394,
HMAC-SHA256,mac_gen,input_size,500,500B_text,500,9,3.292000000598705e-06,394,32
HMAC-SHA256,mac_verify,input_size,500,500B_text,500,9,3.3330000004383464e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,0,4.958000000776508e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,0,3.7500000003021228e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,1,3.5000000000451337e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,1,3.5839999998898975e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,2,3.5419999999675156e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,2,3.5419999999675156e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,3,3.6670000005400993e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,3,3.6670000005400993e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,4,3.540999999884775e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,4,3.666000000457359e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,5,3.5000000000451337e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,5,3.624999999729539e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,6,3.540999999884775e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,6,3.582999999807157e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,7,3.5000000000451337e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,7,3.540999999884775e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,8,3.5000000000451337e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,8,3.5419999999675156e-06,394,
HMAC-SHA256,mac_gen,input_size,1024,1KB_textfile,1024,9,3.540999999884775e-06,394,32
HMAC-SHA256,mac_verify,input_size,1024,1KB_textfile,1024,9,3.624999999729539e-06,394,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,0,7.583000000366269e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,0,6.9580000001678854e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,1,6.79099999967292e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,1,6.79199999975566e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,2,6.749999999833278e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,2,6.7920000006438386e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,3,6.708999999993637e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,3,6.749999999833278e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,4,6.708999999993637e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,4,6.708999999993637e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,5,6.625000000148873e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,5,1.1665999999799226e-05,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,6,8.292000000409416e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,6,6.874999999517684e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,7,6.625000000148873e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,7,8.62499999954025e-06,417,
HMAC-SHA256,mac_gen,input_size,10240,10KB_textfile,10240,8,6.708999999993637e-06,417,32
HMAC-SHA256,mac_verify,input_size,10240,10KB_textfile,10240,8,6.749999999833278e-06,417,
